X,Y,ID,CD_GEOCODI,NM_BAIRRO,NM_MUNICIP,SC_IVS e12,icon_url
-51.6634309473871,-22.7521463286061,"14114","411380905000004",,LUPIONÓPOLIS,0.412730577954743,
-51.6564424672043,-22.7409657224335,"14115","411380905000005",,LUPIONÓPOLIS,0.371876815449366,
-51.6773362281305,-22.7743757970355,"14117","411380905000007",,LUPIONÓPOLIS,0.248398367416861,
-51.6618453879975,-22.7579889533463,"14118","411380905000008",,LUPIONÓPOLIS,0.459292350658028,
-51.6420022128304,-22.6999994370487,"14121","411380910000001",,LUPIONÓPOLIS,0.311297010663866,
-51.6440205436508,-22.6916197679233,"14122","411380910000002",,LUPIONÓPOLIS,0.487609348844008,
-51.6479991020234,-22.6977927927116,"14124","411380910000004",,LUPIONÓPOLIS,0.494850282512177,
-50.8161364076479,-25.8211304553973,"14133","411390805000008",,MALLET,0.357437112965164,
-50.7678720383618,-25.8594808120301,"14134","411390805000009",,MALLET,0.393592822803823,
-50.7650680765667,-25.903443483024,"14135","411390805000010",,MALLET,0.283918849994601,
-50.9126453163367,-25.8912083289745,"14136","411390805000011",,MALLET,0.228605550678953,
-50.9083519411052,-25.8499933359586,"14137","411390805000012",,MALLET,0.348792591163963,
-50.9040402454959,-25.7934837858526,"14138","411390805000013",,MALLET,0.364545563945126,
-50.8521538909972,-25.9469358081573,"14140","411390810000001",,MALLET,0.373566631471917,
-50.7918594443151,-25.9470725222058,"14141","411390810000002",,MALLET,0.297712723190444,
-50.8696468433555,-25.9886842636199,"14142","411390810000003",,MALLET,0.280979567598751,
-50.9552270511107,-25.8860091664209,"14143","411390810000004",,MALLET,0.249931690627709,
-50.7285290699505,-25.9546479316728,"14145","411390815000002",,MALLET,0.292748847607860,
-50.6922203017807,-25.9073024907118,"14146","411390815000003",,MALLET,0.366398494218224,
-52.5294338286968,-24.3215564554694,"14147","411400505000001",,MAMBORÊ,0.506252172433058,
-52.5313626951148,-24.3170190591316,"14148","411400505000002",,MAMBORÊ,0.497805747640260,
-52.5229694674998,-24.3201996032524,"14154","411400505000008",,MAMBORÊ,0.415315128950632,
-52.5205433356276,-24.3224752631241,"14155","411400505000009",,MAMBORÊ,0.490468235315949,
-52.537574310761,-24.3148181501483,"14156","411400505000010",,MAMBORÊ,0.454591134053818,
-52.5503293724424,-24.2731721100596,"14159","411400505000013",,MAMBORÊ,0.427554516922959,
-52.4889029877066,-24.2643718236332,"14160","411400505000014",,MAMBORÊ,0.510515280760244,
-52.4804420337967,-24.3323834802383,"14161","411400505000015",,MAMBORÊ,0.408599603578687,
-52.5104720804504,-24.3945782499548,"14162","411400505000016",,MAMBORÊ,0.466296542074509,
-52.5562277283572,-24.443516509349,"14163","411400505000017",,MAMBORÊ,0.390324348112260,
-52.5784770034954,-24.4600023565932,"14164","411400505000018",,MAMBORÊ,0.430134908442907,
-52.5733362053548,-24.4553187805904,"14165","411400505000019",,MAMBORÊ,0.435880091092610,
-52.5789737444909,-24.4874461101261,"14166","411400505000020",,MAMBORÊ,0.464054949948445,
-52.6387934122649,-24.4538227320381,"14167","411400505000021",,MAMBORÊ,0.450452949169925,
-52.6515512064814,-24.4129420089436,"14168","411400505000022",,MAMBORÊ,0.507556098116084,
-52.7099172615673,-24.3958541813067,"14169","411400505000023",,MAMBORÊ,0.460766272801382,
-52.6628428060159,-24.3059954186357,"14170","411400505000024",,MAMBORÊ,0.468461983493023,
-52.6445734134417,-24.353901294688,"14171","411400505000025",,MAMBORÊ,0.443214431149920,
-52.5648648047741,-24.3512038061649,"14172","411400505000026",,MAMBORÊ,0.377260904621474,
-52.5979121934471,-24.2671480802761,"14173","411400505000027",,MAMBORÊ,0.445784131221198,
-52.5968788735988,-24.2075790365846,"14174","411400505000028",,MAMBORÊ,0.428088179022074,
-52.0944644364087,-23.3425959737434,"14177","411410405000001",,MANDAGUAÇU,0.476092941497253,
-52.0919163137147,-23.3464824070548,"14178","411410405000002",,MANDAGUAÇU,0.486315665143877,
-52.0991591019937,-23.3491399365023,"14181","411410405000005",,MANDAGUAÇU,0.375408152673112,
-52.0976150879434,-23.3451513780891,"14182","411410405000006",,MANDAGUAÇU,0.513125914597543,
-52.1006221417635,-23.3420731338612,"14185","411410405000009",,MANDAGUAÇU,0.515586316882101,
-52.0987387296654,-23.3398421946491,"14186","411410405000010",,MANDAGUAÇU,0.476951416715040,
-52.1148539344229,-23.3294234265335,"14192","411410405000016",,MANDAGUAÇU,0.448329699035562,
-52.1178004509297,-23.3256124327241,"14193","411410405000017",,MANDAGUAÇU,0.506531407253806,
-52.1131033241822,-23.3253658446077,"14194","411410405000018",,MANDAGUAÇU,0.501510443775370,
-52.1112540774392,-23.334935442439,"14195","411410405000019",,MANDAGUAÇU,0.419484804286632,
-52.1086874341078,-23.3790153237756,"14196","411410405000020",,MANDAGUAÇU,0.299430968934170,
-52.1411914357888,-23.3478360011391,"14197","411410405000021",,MANDAGUAÇU,0.352422949639643,
-52.0800353738555,-23.2960270805052,"14198","411410405000022",,MANDAGUAÇU,0.402027005151313,
-52.0346470873601,-23.2570012263828,"14199","411410405000023",,MANDAGUAÇU,0.423338180704671,
