X,Y,ID,CD_GEOCODI,TIPO,NM_BAIRRO,NM_SUBDIST,NM_MUNICIP,SC_indices,SC_indic_1,SC_indic_2,SC_indic_3,SC_indic_4,SC_indic_5,icon_url
-51.7705022591551,-23.282794119936,"4972","410210920000001",URBANO,,,ASTORGA,ASTORGA,"13.1767109295199","0.462757488597604","418.162410623085","0.0968174238525331","0.465033849629462",
-51.7635029076835,-23.2954024660602,"4973","410210920000002",RURAL,,,ASTORGA,ASTORGA,"13.8655462184874","0.413898461440964","560.033613445378","0.210494833707938","0.399297580806506",
-51.8002347569688,-23.2730468631247,"4974","410210920000003",RURAL,,,ASTORGA,ASTORGA,"11.9777158774373","0.547802103396869","536.440340909091","0.191590207127043","0.396542275936537",
-52.0564292500275,-23.1520160421433,"4975","410220805000001",URBANO,,,ATALAIA,ATALAIA,"21.9765929778934","0","816.989583333333","0.416386434840934","0.462193909469344",
-52.0509534589078,-23.1515120582299,"4976","410220805000002",URBANO,,,ATALAIA,ATALAIA,"17.3228346456693","0.168673293890074","586.950787401575","0.232062809132806","0.391903046802704",
-52.0517478876884,-23.1556016574257,"4977","410220805000003",URBANO,,,ATALAIA,ATALAIA,"15.5430711610487","0.294911763115159","571.06191369606","0.21933150092909","0.467354577980296",
-52.0471357483374,-23.1502501969762,"4978","410220805000004",RURAL,,,ATALAIA,ATALAIA,"10.5263157894737","0.650749785446174","630.052631578947","0.266599106200875","0.442535999608714",
-52.0733009969286,-23.1191320726537,"4979","410220805000005",RURAL,,,ATALAIA,ATALAIA,"15.0684931506849","0.328573540128737","534.205479452055","0.189799475415691","0.356031361992749",
-52.0862169330138,-23.098572585917,"4980","410220805000006",RURAL,,,ATALAIA,ATALAIA,"6.74157303370787","0.919201260053462","456.337078651685","0.127405713070162","0.440729579307961",
-52.0550912191159,-23.154224432939,"4981","410220805000007",URBANO,,,ATALAIA,ATALAIA,"19.7604790419162","0","889.163672654691","0.474217505343674","0.485491268458159",
-52.1134912197198,-23.108939385561,"4983","410220805000009",RURAL,,,ATALAIA,ATALAIA,"10.5932203389831","0.646004251566397","276.572033898305","0","0.340477649362716",
-49.5958625377293,-25.5695874969576,"4987","410230705000004",RURAL,,,BALSA NOVA,BALSA NOVA,"15.0510204081633","0.329812880236655","471.408163265306","0.13948174984511","0.389731284922468",
-49.6616679310419,-25.5289423545239,"4989","410230705000006",RURAL,,,BALSA NOVA,BALSA NOVA,"10.9437751004016","0.621139432817474","463.396586345382","0.133062298293302","0.477830336427826",
-49.6076032400394,-25.5033865230139,"4992","410230710000002",RURAL,,,BALSA NOVA,BALSA NOVA,"11.1827956989247","0.604185722545541","326.066666666667","0.0230236910624773","0.470338260273743",
-49.6371047418564,-25.484511541864,"4993","410230710000003",RURAL,,,BALSA NOVA,BALSA NOVA,"14.0845070422535","0.398367589248476","426.75117370892","0.103699358466723","0.45788498890124",
-49.6152114259246,-25.4632960134524,"4996","410230710000006",RURAL,,,BALSA NOVA,BALSA NOVA,"9.83606557377049","0.699709173233158","279.877049180328","0","0.438373114581052",
-49.5871975283515,-25.4601831987612,"5000","410230710000010",URBANO,,,BALSA NOVA,BALSA NOVA,"11.6049382716049","0.574243186567931","513.898514851485","0.173528075075837","0.497489608331307",
-49.6053145186978,-25.4525341448765,"5001","410230710000011",URBANO,,,BALSA NOVA,BALSA NOVA,"4.81283422459893","1","415.729946524064","0.0948683586945441","0.490448439262726",
-49.7377624676587,-25.5057889572454,"5003","410230715000002",RURAL,,,BALSA NOVA,BALSA NOVA,"10.0378787878788","0.685394579502825","431.479166666667","0.107487766420974","0.459357019819473",
-50.3721352716541,-23.093017374504,"5004","410240605000001",URBANO,,,BANDEIRANTES,BANDEIRANTES,"16.9811320754717","0.192910227485335","451.781316348195","0.123755308701445","0.495966211144201",
-50.3761714572101,-23.0952383249214,"5005","410240605000002",URBANO,,,BANDEIRANTES,BANDEIRANTES,"14.6050670640835","0.361444312159444","459.338301043219","0.129810508272307","0.448623227774371",
-50.3638308246347,-23.1148673547154,"5016","410240605000013",URBANO,,,BANDEIRANTES,BANDEIRANTES,"18.5378590078329","0.0824917215204078","482.008356545961","0.147975386976113","0.428704299369641",
-50.3697494754758,-23.1180422407447,"5018","410240605000015",URBANO,,,BANDEIRANTES,BANDEIRANTES,"13.6266094420601","0.430846226218928","464.929184549356","0.134290326185581","0.412006519325028",
-50.371826499189,-23.1185834080995,"5022","410240605000019",URBANO,,,BANDEIRANTES,BANDEIRANTES,"13.6894824707846","0.426386647757903","414.373956594324","0.0937818420517271","0.488455327530678",
-50.381466125879,-23.1211038677562,"5024","410240605000021",URBANO,,,BANDEIRANTES,BANDEIRANTES,"9.79827089337176","0.702389946627835","345.392496392496","0.0385089355859253","0.495772355677926",
-50.3768903806738,-23.110568820138,"5027","410240605000024",URBANO,,,BANDEIRANTES,BANDEIRANTES,"18.7776793622675","0.0654812846312083","565.768821966342","0.215090295201701","0.475772981263494",
-50.3793864321078,-23.1060890170194,"5028","410240605000025",URBANO,,,BANDEIRANTES,BANDEIRANTES,"8.00696257615318","0.829447289825345","157.237597911227","0","0.472706237732604",
-50.424402310755,-23.0774463984386,"5036","410240605000033",RURAL,,,BANDEIRANTES,BANDEIRANTES,"10.4477611940299","0.656321656071185","526.335820895522","0.183493739062179","0.413328933490099",
-50.3929579150802,-23.0720672492772,"5037","410240605000034",RURAL,,,BANDEIRANTES,BANDEIRANTES,"11.0236220472441","0.615475895820117","362.595800524934","0.0522934599702003","0.405354653631173",
-50.3409692862773,-23.0844767314277,"5038","410240605000035",RURAL,,,BANDEIRANTES,BANDEIRANTES,"9.78260869565217","0.703500864950357","575.681818181818","0.223033300626793","0.437261097923131",
-50.3035267220099,-23.1105632897621,"5039","410240605000036",RURAL,,,BANDEIRANTES,BANDEIRANTES,"13.1147540983607","0.46715208124498","349.770491803279","0.0420169003367421","0.327488342166993",
-50.2541945096538,-23.1348929604152,"5040","410240605000037",RURAL,,,BANDEIRANTES,BANDEIRANTES,"19.9203187250996","0","298.749003984064","0.00113481527031428","0.227629501813384",
-50.3052816481512,-23.1610258388754,"5041","410240605000038",RURAL,,,BANDEIRANTES,BANDEIRANTES,"16.6666666666667","0.21521523159112","442.5","0.116318450610991","0.3087003877842",
-50.2702756620478,-23.2146442197046,"5042","410240605000039",RURAL,,,BANDEIRANTES,BANDEIRANTES,"15.625","0.289100557691531","292.995535714286","0","0.281130102795101",
-50.3097694926754,-23.2447382122085,"5043","410240605000040",RURAL,,,BANDEIRANTES,BANDEIRANTES,"7.73809523809524","0.848518026737499","331.071428571429","0.0270338661999149","0.39137922893406",
-50.374408692521,-23.2347116178101,"5044","410240605000041",RURAL,,,BANDEIRANTES,BANDEIRANTES,"12.1546961325967","0.535248909285717","294.353591160221","0","0.324590710779221",
-50.4386739258458,-23.2031641265839,"5045","410240605000042",RURAL,,,BANDEIRANTES,BANDEIRANTES,"29.0076335877863","0","201.09375","0","0.227262548782213",
-50.4325609217073,-23.1722247217688,"5046","410240605000043",RURAL,,,BANDEIRANTES,BANDEIRANTES,"11.1764705882353","0.604634362096815","326.379411764706","0.0232742849249583","0.345362917662505",
-50.4165001181059,-23.1483887387801,"5047","410240605000044",RURAL,,,BANDEIRANTES,BANDEIRANTES,"11.8055555555556","0.560013420059704","393.159722222222","0.0767834719278992","0.358547300088175",
-50.3642019569109,-23.1565985592922,"5048","410240605000045",RURAL,,,BANDEIRANTES,BANDEIRANTES,"16.7701863354037","0.207872590487973","374.660377358491","0.0619604665096323","0.287585940991644",
-50.339734174784,-23.141989213915,"5049","410240605000046",RURAL,,,BANDEIRANTES,BANDEIRANTES,"7.43405275779377","0.870083733430733","429.431654676259","0.105847152574844","0.423758024305396",
-50.3474335719909,-23.2056413141971,"5050","410240605000047",RURAL,,,BANDEIRANTES,BANDEIRANTES,"16.1290322580645","0.253349593449396","219.370967741935","0","0.279810975935869",
-50.3868978322153,-23.1920199750301,"5051","410240605000048",RURAL,,,BANDEIRANTES,BANDEIRANTES,"17.5496688741722","0.152583961784149","285.529801324503","0","0.25491721659705",
-50.4268463633562,-23.1112771236841,"5052","410240605000049",RURAL,,,BANDEIRANTES,BANDEIRANTES,"13.6029411764706","0.432525014239387","445.511029411765","0.118731103902981","0.349055264343449",
-50.3667051030132,-23.1199950577008,"5053","410240605000050",URBANO,,,BANDEIRANTES,BANDEIRANTES,"12.0578778135048","0.542116224241169","395.358520900322","0.0785453075474428","0.418395506133995",
-50.3735839978838,-23.1214539307993,"5055","410240605000052",URBANO,,,BANDEIRANTES,BANDEIRANTES,"12.396694214876","0.518084006349829","383.839669421488","0.0693155754060785","0.482350407117125",
-50.2514843821727,-23.1608291117882,"5058","410240610000001",URBANO,,,BANDEIRANTES,BANDEIRANTES,"19.3916349809886","0.0219334659748361","228.916349809886","0","0.228585132845863",
-50.2568755736053,-23.1764579961242,"5059","410240610000002",RURAL,,,BANDEIRANTES,BANDEIRANTES,"17.910447761194","0.126993946695107","324.141791044776","0.0214813422937535","0.258173932960475",
-52.002950568225,-24.0245509983669,"5061","410250505000002",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"18.6046511627907","0.0777541597764019","527.324127906977","0.184285641710279","0.449617811393815",
-51.9967992394265,-24.0242336880343,"5062","410250505000003",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"14.8251748251748","0.345832087802196","355.934265734266","0.0469557592557472","0.444058232684605",
-52.0001344336571,-24.031737153636,"5063","410250505000004",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"13.5555555555556","0.435886072211014","292.778888888889","0","0.425214306019675",
-52.0645182744555,-24.0465892886999,"5064","410250505000015",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"10.2739726027397","0.668648465741587","282.186206896552","0","0.348845175589379",
-52.0550186037214,-24.010400674472,"5065","410250505000016",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"9.55414012738854","0.719706120633416","330.828025477707","0.0268388341377725","0.385751728278484",
-52.0100241809156,-24.0250674182304,"5066","410250505000017",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"20.0440528634361","0","708.339207048458","0.329327940162838","0.483771767074",
-52.0032731269715,-24.0184853888709,"5067","410250505000018",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"10.9874826147427","0.618039262625349","370.251396648045","0.0584276741085294","0.468372158820609",
-52.0050958213914,-24.0353032532327,"5068","410250505000019",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"13.1332082551595","0.465843129507711","354.729831144465","0.0459906796498439","0.478533902729251",
-52.0155688419269,-24.0251425162642,"5070","410250505000021",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"23.7875288683603","0","796.078521939954","0.399630988709246","0.4754082339983",
-52.2211753866325,-24.1828033451422,"5071","410250507000001",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"16.3069544364508","0.24072958880565","334.157641395909","0.0295067618487159","0.388018666084135",
-52.1883590738347,-24.1876490875331,"5072","410250507000002",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"21.9512195121951","0","324.268292682927","0.0215827045031474","0.253533360622256",
-52.1000435815181,-24.199951026943,"5073","410250507000003",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"18.0327868852459","0.118316443262712","238.844262295082","0","0.253717041124277",
-52.0924446284376,-24.210506375773,"5074","410250507000004",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"17.6100628930818","0.148300219273767","327.194968553459","0.0239277676719227","0.379906035104424",
-52.1326260590259,-24.0314209988196,"5075","410250515000001",URBANO,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"20.1646090534979","0","306.658333333333","0.00747233871574897","0.34809971984131",
-52.1646995251337,-24.0395651512891,"5076","410250515000002",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"15.1785714285714","0.32076569744885","206.107142857143","0","0.320337853150986",
-52.1355426704759,-23.996323252958,"5077","410250515000003",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"11.6129032258065","0.57367823305892","174.683870967742","0","0.429339266637126",
-52.0859534930788,-23.9527045362265,"5078","410250515000004",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"12.1951219512195","0.532381509485566","266.341463414634","0","0.361930891862256",
-52.1061622087139,-24.0161686142794,"5079","410250515000005",RURAL,,,BARBOSA FERRAZ,BARBOSA FERRAZ,"17.1052631578947","0.184105620601473","455.171052631579","0.126471409172311","0.353027845512436",
